Date(GMT),Date(Local),Time(sec),Latitude,Longitude,Horizontal Accuracy(m),Altitude(m),Vertical Accuracy(m),Distance(m),Speed(m/s),Average Speed(m/s),Course(deg),True Heading(deg),Magnetic Heading(deg),Heading Accuracy(deg),Glide Ratio,Heart Rate (bpm)
2025-03-06 14:14:44.21,2025-03-06 14:14:44.21,0,53.378680,-1.474792,35.99855715934099,87.88455739876568,30.00000000141151,0,-1,0,-1,201.1099243164062,200.6956176757812,11.09681701660156,0,0
2025-03-06 14:14:48.65,2025-03-06 14:14:48.65,2.016251087188721,53.378653,-1.474822,28.99867770745653,87.58946708443247,30,0,-1,0,-1,194.2886810302734,193.8743743896484,11.05606269836426,0.06951265724289532,0
2025-03-06 14:15:45.60,2025-03-06 14:15:45.60,59.01674199104309,53.378615,-1.474624,53.3438680181395,87.26112734188933,30.00659093825619,13.86277839488246,-1,0.7399775746355458,-1,114.0001525878906,113.5858459472656,11.09097003936768,-88.83221238483107,0
2025-03-06 14:15:54.57,2025-03-06 14:15:54.57,68.51649498939514,53.378760,-1.474898,30.39758222893789,89.1469342008233,30,38.25559654919838,-1,0,-1,114.0001525878906,113.5858459472656,11.09097003936768,1111.589780336959,0
2025-03-06 14:16:01.51,2025-03-06 14:16:01.51,75.5202020406723,53.378549,-1.475149,22.99858385073305,84.6947830402197,30,67.11712412197937,-1,0,-1,114.0001525878906,113.5858459472656,11.09097003936768,133.2480192436432,0
2025-03-06 14:16:13.67,2025-03-06 14:16:13.67,87.01967406272888,53.378594,-1.475486,20.95330656788207,84.55314096327055,30,90.13071974648645,-1,2.387369599813386,-1,114.0001525878906,113.5858459472656,11.09097003936768,-133.6334144234732,0
2025-03-06 14:16:25.23,2025-03-06 14:16:25.23,99.020712018013,53.378496,-1.475440,13.38880465076146,82.16606521606445,3,101.4127108646343,1.740000009536743,1.855965295961434,241.875,114.0001525878906,113.5858459472656,11.09097003936768,34.78514344676722,0
2025-03-06 14:16:27.24,2025-03-06 14:16:27.24,101.021437048912,53.378558,-1.475563,12.74809984823074,83.99467849731445,3,112.1080558704143,1.600000023841858,1.855965295961434,275.2734375,114.0001525878906,113.5858459472656,11.09097003936768,-39.91276662290665,0
2025-03-06 14:16:33.00,2025-03-06 14:16:33.00,106.5195590257645,53.378644,-1.475613,3.606810384148025,89.45390701293945,4,122.1501741090333,1.159999966621399,3.712033892811602,316.0546875,114.0001525878906,113.5858459472656,11.09097003936768,-93.50094951496514,0
2025-03-06 14:16:39.00,2025-03-06 14:16:39.00,112.5197970867157,53.378742,-1.475664,4.748651530192084,90.08806257508695,7.478586860605529,133.6354541703041,1.669999957084598,1.622797523736023,326.9531140172476,114.0001525878906,113.5858459472656,11.09097003936768,-125.6429145037397,0
